repo_name
Akuli/porcupine
AlexWaygood/typeshed-stats
Avasam/speedrun.com_global_scoreboard_webapp
DataDog/dd-trace-py
FasterSpeeding/Tanjun
Finistere/antidote
Gobot1234/steam.py
JohannesBuchner/imagehash
Kalmat/PyWinCtl
Legrandin/pycryptodome
MaterializeInc/materialize
NeilGirdhar/efax
PrefectHQ/prefect
PyCQA/flake8-pyi
PyGithub/PyGithub
Rapptz/discord.py
RobertCraigie/prisma-client-py
Textualize/rich
Toufool/AutoSplit
aaugustin/websockets
agronholm/anyio
aio-libs/aiohttp
aio-libs/aiohttp-devtools
aio-libs/aioredis
aio-libs/janus
aio-libs/yarl
aiortc/aiortc
alerta/alerta
apache/spark
archlinux/archinstall
artigraph/artigraph
arviz-devs/arviz
astropenguin/xarray-dataclasses
awslabs/sockeye
beartype/beartype
bokeh/bokeh
canonical/cloud-init
canonical/operator
caronc/apprise
cognitedata/Expression
colour-science/colour
common-workflow-language/cwltool
common-workflow-language/schema_salad
cpitclaudel/alectryon
davidhalter/parso
dedupeio/dedupe
detachhead/pytest-robotframework
dragonchain/dragonchain
dropbox/mypy-protobuf
dropbox/stone
dry-python/returns
dulwich/dulwich
edgedb/edgedb
egraphs-good/egglog-python
encode/starlette
enthought/comtypes
freqtrade/freqtrade
glyph/DateType
google/duet
google/jax
graphql-python/graphql-core
hauntsaninja/boostedblob
hauntsaninja/mypy_primer
hauntsaninja/pyp
home-assistant/core
hydpy-dev/hydpy
hynek/svcs
ibis-project/ibis
ilevkivskyi/com2ann
internetarchive/openlibrary
jab/bidict
jaraco/zipp
joerick/pyinstrument
johtso/httpx-caching
jpadilla/pyjwt
keithasaurus/koda-validate
konradhalas/dacite
kornia/kornia
laowantong/paroxython
mesonbuild/meson
mhammond/pywin32
mikeshardmind/SinbadCogs
mikeshardmind/async-utils
mit-ll-responsible-ai/hydra-zen
mitmproxy/mitmproxy
mkdocs/mkdocs
mongodb/mongo-python-driver
more-itertools/more-itertools
mystor/git-revise
niklasf/python-chess
nion-software/nionutils
nolar/kopf
optuna/optuna
pallets/itsdangerous
pallets/jinja
pallets/werkzeug
pandas-dev/pandas
pandas-dev/pandas-stubs
pandera-dev/pandera
ppb/ppb-vector
psf/black
psycopg/psycopg
pwndbg/pwndbg
pybind/pybind11
pycqa/flake8
pycqa/isort
pycqa/pylint
pydantic/pydantic
pydata/xarray
pyodide/pyodide
pypa/bandersnatch
pypa/build
pypa/cibuildwheel
pypa/packaging
pypa/pip
pypa/pyproject-metadata
pypa/setuptools
pypa/twine
pyppeteer/pyppeteer
pytest-dev/pytest
python-attrs/attrs
python-jsonschema/check-jsonschema
python-poetry/poetry
python-trio/trio
python/cpython
python/cpython
python/cpython
python/mypy
pytorch/ignite
pytorch/vision
quora/asynq
r-spacex/submanager
rotki/rotki
rpdelaney/downforeveryone
schemathesis/schemathesis
scikit-build/scikit-build-core
scikit-learn/scikit-learn
scipy/scipy
scipy/scipy-stubs
sco1/pylox
scrapy/scrapy
spack/spack
sphinx-doc/sphinx
srittau/python-htmlgen
static-frame/static-frame
strawberry-graphql/strawberry
strawberry-graphql/strawberry
streamlit/streamlit
sympy/sympy
systemd/mkosi
tornadoweb/tornado
trailofbits/manticore
twisted/twisted
typeddjango/django-stubs
typeddjango/django-stubs
urllib3/urllib3
vega/altair
we-like-parsers/pegen
wntrblm/nox
yelp/paasta
yurijmikhalevich/rclip
zopefoundation/zope.interface
zulip/zulip
