package_name,latest_version
types-aiobotocore-managedblockchain,3.3.0
cli-mcp-server,0.2.5
spectree,2.0.1
mapclassify,2.10.0
forex-python,1.9.2
audioread,3.1.0
azure-mgmt-policyinsights,1.0.0
sklearn-evaluation,0.12.2
deskew,1.5.3
acryl-executor,0.3.7
pyats-easypy,26.2
ytsaurus-yson,0.4.10
fake-useragent,2.2.0
mypy-boto3-storagegateway,1.42.3
r7insight-python,1.0.1
dotnetfile,0.2.10
dvclive,3.49.0
mypy-boto3-elasticbeanstalk,1.42.61
pygeos,0.14
pyats-utils,26.2
python-crontab,3.3.0
pymatting,1.1.15
types-aiobotocore-lookoutequipment,3.3.0
adjust-precision-for-schema,0.3.4
grpc-gateway-protoc-gen-openapiv2,0.1.0
sphinxcontrib-youtube,1.4.1
qoi,0.7.2
django-nine,0.2.7
types-aiobotocore-emr-containers,3.3.0
sphinx-design,0.7.0
netflix-spectator-py,1.1.2
strip-markdown,1.3
inputs,0.5
huggingface,0.0.1
sh-py,
types-html5lib,1.1.11.20251117
assemblyline-ui,4.7.1.12
git-url-parse,1.2.2
azure-mgmt-billing,7.0.0
codecov-cli,11.2.7
django-dirtyfields,1.9.9
azure-mgmt-servicefabric,2.1.0
langflow,1.8.2
pilmoji,2.0.5
edx-organizations,7.3.0
types-aiobotocore-rum,3.3.0
dagster-datadog,0.28.20
mypy-boto3-cloud9,1.42.3
pyunpack,0.3
yarn-api-client,1.0.3
dicom2nifti,2.6.2
wikipedia-api,0.11.0
mypy-boto3-appintegrations,1.42.63
azure-mgmt-powerbiembedded,3.0.0
pyspark-huggingface,2.0.0
types-aiobotocore-iotsecuretunneling,3.3.0
fold-to-ascii,1.0.2.post1
pathlib,1.0.1
mypy-boto3-kafka,1.42.65
flask-principal,0.4.0
types-aiobotocore-route53resolver,3.3.0
cysignals,1.12.6
mcp-server-time,2026.1.26
mdformat-frontmatter,2.0.10
mypy-boto3-cur,1.42.3
datetime-quarter,1.0.3
azure-mgmt-signalr,1.2.0
mypy-boto3-simspaceweaver,1.42.3
mnemonic,0.21
apideck-unify,0.31.2
types-aiobotocore-iot-jobs-data,3.3.0
iso-639,0.4.5
types-enum34,1.1.8
autofaiss,2.18.0
threadloop,1.0.2
vonage-account,1.1.1
bingads,13.0.27
codejail-includes,2.0.0
blacken-docs,1.20.0
flake8-bugbear,25.11.29
mypy-boto3-route53-recovery-cluster,1.42.3
aws-cdk-aws-route53-targets,1.204.0
snakebite-py3,3.0.6
pyobjc-framework-libdispatch,12.1
mo-sql-parsing,11.697.25301
types-aiobotocore-appconfig,3.3.0
case-convert,1.1.0
mo-parsing,8.694.25301
mypy-boto3-braket,1.42.3
mypy-boto3-marketplace-catalog,1.42.41
geoarrow-types,0.3.0
openfga-sdk,0.9.9
bluetooth-data-tools,1.28.4
